env_steps,grad_steps,eval_return,eval_std,train_return,episodes,wall_time,wm_loss,recon,rew_loss,cont_loss,kl,wm_gradnorm,actor_loss,critic_loss,imag_return,imag_reward,imag_value,entropy,actor_gradnorm,critic_gradnorm
11000,2001,218.6,18.575252353602092,215.1,145,526.5137038230896,5.612499022483826,3.7009679079055786,0.9190858870744705,0.014005182178552787,0.7911212310194969,0.630386424139142,-41.38990256309509,4.542901259660721,44.82001413345337,0.9988121941685677,41.757309646606444,0.36721940502524375,0.46224166681524365,33.63633008956909
12000,2201,200.8,11.461239025515521,231.3,149,578.6572072505951,5.612151460647583,3.6989071094989776,0.9190542304515839,0.009749119031839655,0.7949882251024246,0.6671901073306798,-44.978777694702146,3.9024771106243135,48.75537454605102,0.9988508254289628,46.02871459960937,0.4354022626578808,0.24115256546298042,31.054063992500303
13000,2401,152.0,13.023056476879765,210.9,154,629.6477973461151,5.611495954990387,3.695803271532059,0.9190629827976227,0.013219078721485858,0.8005212426185608,0.4165735797211528,-47.938972358703616,3.693952409029007,51.80010564804077,0.9976879012584686,49.50326568603516,0.43460058137774465,0.4166854337789118,28.696394596099854
14000,2601,298.6,73.59510853310836,203.3,158,684.4344320297241,5.612849235534668,3.6956641912460326,0.9190412190556526,0.012897229704612982,0.7997310969233513,0.605105153284967,-51.254514369964596,3.1399071514606476,55.24511140823364,0.9985859006643295,53.157281436920165,0.3067797262221575,0.25951796168461444,24.851681694984435
15000,2801,220.0,46.49731175025068,237.4,162,737.1431818008423,5.609545035362244,3.693481431007385,0.9190410244464874,0.008227111289852474,0.8110140869021416,0.4629376961663365,-52.97921827316284,2.960878514647484,57.17516403198242,0.9988931477069855,55.49516387939453,0.34777258142828943,0.2241082034772262,22.197741475105286
16000,3001,141.2,10.49571341072154,220.3,168,789.0544638633728,5.610992531776429,3.695487771034241,0.9190330505371094,0.01553048569627208,0.8128706368803978,0.4872304952517152,-54.475609111785886,2.810596568584442,58.7321272277832,0.9989360806345939,57.321615867614746,0.31880178533494474,0.4531087837228551,19.800662057399748
17000,3201,221.6,25.413382301456846,155.9,174,841.7977609634399,5.608593373298645,3.6912127315998076,0.9190219455957412,0.007716347672921984,0.8108882689476014,0.40781274953857066,-56.40084424972534,2.5440991634130476,60.804273529052736,0.9987824529409408,59.65074317932129,0.3734435757994652,0.21781231479719282,17.614282133579255
18000,3401,177.4,12.626955294131678,178.0,179,894.3722903728485,5.609834420681,3.6936512196063997,0.9189939454197884,0.006050209911627462,0.7902633470296859,0.6115350136905908,-59.31904041290283,2.267448935508728,63.82416162490845,0.9989407756924629,62.42823278427124,0.4277494564652443,0.19459576059598477,15.978802213668823
19000,3601,141.2,4.019950248448356,186.2,183,946.013286113739,5.6093876171112065,3.6912990963459014,0.9189953124523162,0.008179981638868412,0.8143241184949875,0.47425364252179864,-61.206738719940184,2.2479263126850126,65.93257419586182,0.9989980015158654,64.83189273834229,0.4507320787012577,0.26809937752317636,14.629544777870178
20000,3801,226.0,46.16925383845834,199.9,189,996.0297403335571,5.609568810462951,3.6913640761375426,0.918972237110138,0.008431779419070154,0.7983621886372566,0.5756293443590402,-63.21527935028076,2.0593036609888076,68.1094116973877,0.9994076898694039,67.07691051483154,0.3692660281062126,0.15131928074173628,14.37474949836731
